sample_segmented,polarity_score,sentiment
 有趣   中肯   溫馨 ,3,1
" 五樓 耶 ,   好巧 喔 ",0,0
 結束 了 才 要 去   你 是 想到 ㄛ 妳 ,0,0
 年度 最 中肯 ! ! ,1,1
 好 好玩 阿 ,1,1
 有趣   中肯   溫馨 ,3,1
 年度 最 中肯 ! ! ,1,1
 生日快樂 ,3,1
 我 還沒 去 .... ,-1,-1
 有趣   中肯   溫馨 ,3,1
 早睡早起 精神 好 ,0,0
 太棒 了 ! ! ,1,1
 有趣   中肯   溫馨 ,3,1
 恐怖 金紙 鋪 ,-2,-1
 年度 最 中肯 ! ! ,1,1
 睿 真的 有夠 生氣 ,-2,-1
 嘖   有 看到 花博 了   還嫌 哩 ,0,0
 爭 豔 館 那 紫色 讚 ! ! ,1,1
 有趣   中肯   溫馨 ,3,1
 我 可 是 去 走 了 數小時 一個館 都沒 逛 呢 ,-1,-1
 美女 晚安 安 ～   ～ ,0,0
 美女 晚安 安 ～   ～ ～ ,0,0
 我 還沒 去過 ,-1,-1
 可憐 你 了 ,-1,-1
 我 不 怎麼 喜歡 報告 的 說 ,3,1
 真是太 厲害 囉 ~ ,1,1
 有趣   中肯   溫馨 ,3,1
 假日 平安 ！ 順心 ！ ,1,1
 好險 我 都 逛 完了 ~ 乎 ,-1,-1
 買 一送 一 沒了 ,-1,-1
 上星期 去 花博給 它 拼 了 3 館 ！ 爭 豔 館 、 養生館 、 天使 館 ~ ， 還有 看到 一點點 的 未來館 ~ ~ 還 真是 拼 ㄚ ,2,1
 你 去 了 喔 XDDD   趕上 了 ,0,0
 對 阿   謝謝 志工   有 玩 的 很開心 就 好   這樣 子志工 跟 我 都 很開心 ! ! Ｙ Ａ ,4,1
 有趣   中肯   溫馨 ,3,1
 有趣   中肯   溫馨 ,3,1
 鐵腿 了 吧 ,0,0
 躺 著 也 中槍 ,0,0
 有趣   中肯   溫馨 ,3,1
 有趣   中肯   溫馨 ,3,1
 幹麻 不帶 ,-1,-1
 我 最近 也 滿 喜歡 聽 這個 的 ,2,1
 有趣   中肯   溫馨 ,3,1
 嘻嘻 嘻   枝 姐姐 新 的 大頭照 好 閃亮 唷   是 因為 本人 最近 也 很 閃 嗎 ? ,1,1
 早睡早起 精神 好 ,0,0
 有趣   中肯   溫馨 ,3,1
 恭喜 恭喜 ,1,1
 午安   今天 高溫 記得 多喝水 ,0,0
 有趣   中肯   溫馨 ,3,1
 有趣   中肯   溫馨 ,3,1
 還好 夢想 館會 留下 ,4,1
 好 餓 喔 ... ,0,0
 宿舍 哪來 新聞 ,0,0
 好 悲慘 ,-2,-1
 好 恐怖 ,-2,-1
 XDD   我要 喝 喜酒 ,1,1
 只見 新人 笑 ～ 不見 就 人 哭 ～ 可憐 阿 ～ 還沒 卸任 就 已經 被 人 唾棄 了 ～ ,-3,-1
 早安   ！   來 去 線 上 收 聽   KISSRADIO   開始 美好 的 一天 ！ ！ ,1,1
 玩 的 開心 點 喔 ~ ,2,1
 花博 又 開放 啦 ,1,1
+,0,0
 真的 快累 斃了 ! ! ! ! ,-1,-1
 哈哈哈 ~ 發酒瘋 給 她 看 XDD ,0,0
 真 讚 ~ ~ ,1,1
 昨晚 硬是 把 它 用 完   .. ( 但 還有 兩張 遺失 在 我 找不到 的 地方 > < ,-1,-1
" No   good ,   Bob ",0,0
 呵呵 ， 我 是 乖孩子 ， 小雪 大人 都沒 打過 我 ～ ,0,0
 我 可能 要 去 看 醫生 ， 掰 伊 ~ ~ ,0,0
 有趣   中肯   溫馨 ,3,1
 結果 說 要 去 都 沒去 成 ,-2,-1
 早上好 ~ ,1,1
 去 了 兩次 .. 也 只 看 了 一區 半 ,0,0
 看來 你 順利 回到 家 了 ,1,1
" 上次 跟 我媽 他們 去 六點 多 就 起床 .. 還沒 拿到 夢想 館 的 票 , 只能 在 門口 等 開門 , 一整天 下來 整個 就是 累慘 了 ~ ~ 你們 中午 才 去 至少 有 睡 飽 ",0,0
 可惜 的 是 這次 沒能 跟 幸茵 好好 坐下 來 吃 頓 美食 ... 幸茵 就 走 了 ,-2,-1
 她 真的 很乖 ,0,0
 那 它 分給 別人   不 就 一堆 人 進來   嘖嘖   真 不好 ,-1,-1
 我 沒 有 排耶 XDD   真 幸運 ,1,1
 有趣   中肯   溫馨 ,3,1
 你 都 去 幾次 了 。   我 半次 都 沒去 過 ,-1,-1
 好聽 耶 ,1,1
 五月 之 後 就會 有館 重新開放 了 ～ 到 時候 可以 再 慢慢 晃 ,4,1
 真的 ! ! ! 今天 好熱 ! ! ! ,0,0
 對 啊 ~ ~ ~ 我 去 那 一天 剛好 是 人數 最多 的 一天 .... 啥 館 都 沒得 看 .... 又 熱得 半死 ... 隨便 逛逛 就 回家 囉 ,-2,-1
 有趣   中肯   溫馨 ,3,1
 我 還有 好 幾 ㄍ 館 沒 看 ... ,1,1
 Have   a   Nice   Day ~ ,0,0
 Good   morning ~ ,0,0
 早安   ！   來 去 線 上 收 聽   KISSRADIO   開始 美好 的 一天 ！ ！ ,1,1
 有趣   中肯   溫馨 ,3,1
 早上好 ,1,1
 午安 ,0,0
 也 為 開始 新 的 一歲 倒數 ~ ~ ~ Happy   birthday   喔 ~ ~ ~ ,0,0
 哀 噁 ,0,0
 有趣   中肯   溫馨 ,3,1
 me   too 哦   鼻涕 擤 不庭 加上 喉嚨 痛 ,0,0
 不錯 玩 ,1,1
 別去   都 是 人 .. ,0,0
